   Satellite ID          GPS Time         Pseudorange       Carrier Phase       C/N
              1        369338.000        20260777.782       106471059.259        37
              7        369338.000        20411046.929       107260763.834        35
              8        369338.000        23488668.384       123433800.497        31
             11        369338.000        20771691.643       109155957.309        34
             17        369338.000        23592694.820       123980447.358        30
             22        369338.000        23073487.830       121251996.787        29
             28        369338.000        23260134.713       122232832.845        28
             30        369338.000        20809786.376       109356147.552        34
              3        369338.000        23591501.609       123974177.207        28
             94        369338.000        40665258.630       211754681.690        37
             95        369338.000        35972634.111       187318941.143        48
             96        369338.000        36574760.837       190454371.046        46
             98        369338.000        35775045.279       186290042.547        47
             93        369338.000        39113170.302       203672538.327        41
            100        369338.000        22291982.271       116080198.051        49
            103        369338.000        36690657.313       191057876.428        47
             89        369338.000        37053718.011       192948429.873        46
             90        369338.000        37455899.566       195042694.609        44
             91        369338.000        36239036.238       188706167.488        47
             92        369338.000        38406090.446       199990587.585        43
              9        369338.000        25280888.477       132851964.959        27
             99        369338.000        25298624.564       131736580.150        42
              1        369339.000        20260970.589       106472071.605        35
              7        369339.000        20411350.388       107262357.525        35
              8        369339.000        23489092.546       123436042.837        31
             11        369339.000        20772074.239       109157968.140        34
             17        369339.000        23592500.233       123979425.468        33
             28        369339.000        23259743.636       122230777.670        32
             30        369339.000        20809726.871       109355836.635        36
              3        369339.000        23591085.387       123971989.994        26
             94        369339.000        40665137.525       211754051.833        37
             95        369339.000        35972779.350       187319698.569        48
             96        369339.000        36574920.472       190455202.859        46
             98        369339.000        35775082.622       186290237.132        47
             93        369339.000        39113206.860       203672729.167        42
            100        369339.000        22292085.018       116080732.286        49
            103        369339.000        36690754.686       191058383.149        47
             89        369339.000        37053764.446       192948671.756        46
             90        369339.000        37455938.549       195042897.487        44
             91        369339.000        36239080.142       188706395.502        47
             92        369339.000        38406133.740       199990813.049        43
              9        369339.000        25281230.047       132853760.170        26
             99        369339.000        25298381.901       131735317.054        42
              1        369340.000        20261163.344       106473084.672        46
              7        369340.000        20411653.708       107263951.863        43
              8        369340.000        23489521.280       123438284.949        37
             11        369340.000        20772456.923       109159979.487        43
             17        369340.000        23592299.852       123978392.571        38
             28        369340.000        23259347.080       122228693.045        38
             30        369340.000        20809665.882       109355526.415        45
              3        369340.000        23590669.216       123969803.404        38
             94        369340.000        40665016.578       211753421.903        38
             95        369340.000        35972924.972       187320456.231        49
             96        369340.000        36575080.159       190456034.815        46
             98        369340.000        35775119.983       186290431.943        47
             93        369340.000        39113243.366       203672920.116        42
            100        369340.000        22292187.434       116081266.782        49
            103        369340.000        36690851.953       191058890.032        47
             89        369340.000        37053811.125       192948913.726        46
             90        369340.000        37455977.603       195043100.449        44
             91        369340.000        36239123.890       188706623.587        47
             92        369340.000        38406177.086       199991038.580        43
              9        369340.000        25281578.685       132855591.960        27
             19        369340.000        25503878.423       134023784.784        19
             99        369340.000        25298139.500       131734054.270        42
              1        369341.000        20261356.204       106474098.661        48
              7        369341.000        20411957.411       107265547.130        46
              8        369341.000        23489952.301       123440527.303        40
             11        369341.000        20772840.060       109161991.545        46
             17        369341.000        23592103.991       123977360.276        42
             28        369341.000        23258952.217       122226624.683        40
             30        369341.000        20809608.419       109355217.133        48
              3        369341.000        23590260.079       123967628.373        40
             94        369341.000        40664895.770       211752792.071        37
             95        369341.000        35973070.594       187321214.324        48
             96        369341.000        36575239.968       190456867.032        45
             98        369341.000        35775157.588       186290627.202        47
             93        369341.000        39113280.291       203673111.360        42
            100        369341.000        22292290.425       116081801.720        48
            103        369341.000        36690949.360       191059397.251        47
             89        369341.000        37053857.577       192949155.979        45
             90        369341.000        37456016.674       195043303.678        43
             91        369341.000        36239167.743       188706851.966        46
             92        369341.000        38406220.415       199991264.405        42
              9        369341.000        25281920.413       132857400.202        34
             99        369341.000        25297897.065       131732791.935        42
              1        369342.000        20261548.994       106475113.552        46
              7        369342.000        20412260.975       107267143.317        45
              8        369342.000        23490378.871       123442769.910        40
             11        369342.000        20773223.074       109164004.331        45
             17        369342.000        23591908.653       123976328.437        40
             28        369342.000        23258559.150       122224556.525        40
             30        369342.000        20809547.709       109354908.774        47
              3        369342.000        23589847.660       123965453.703        38
             94        369342.000        40664774.700       211752162.414        37
             95        369342.000        35973216.338       187321972.878        48
             96        369342.000        36575399.917       190457699.562        45
             98        369342.000        35775195.316       186290822.897        46
             93        369342.000        39113316.989       203673302.854        41
            100        369342.000        22292393.137       116082337.092        48
            103        369342.000        36691046.942       191059904.810        47
             89        369342.000        37053904.065       192949398.538        45
             90        369342.000        37456055.885       195043507.197        43
             91        369342.000        36239211.577       188707080.632        46
             92        369342.000        38406264.023       199991490.516        42
              9        369342.000        25282268.650       132859208.403        31
             99        369342.000        25297654.856       131731530.097        42
              1        369343.000        20261742.482       106476129.235        49
              7        369343.000        20412564.661       107268740.271        48
              8        369343.000        23490805.896       123445012.575        43
             11        369343.000        20773606.019       109166017.639        48
             17        369343.000        23591710.925       123975296.866        43
             22        369343.000        23074017.200       121254778.428        18
             28        369343.000        23258166.835       122222488.425        43
             30        369343.000        20809492.130       109354601.200        50
              3        369343.000        23589434.736       123963279.158        43
             94        369343.000        40664653.578       211751532.673        36
             95        369343.000        35973362.100       187322731.712        48
             96        369343.000        36575559.813       190458532.224        45
             98        369343.000        35775232.851       186291018.858        46
             93        369343.000        39113353.739       203673494.476        41
            100        369343.000        22292495.744       116082872.763        48
            103        369343.000        36691144.436       191060412.558        46
             89        369343.000        37053950.674       192949641.199        45
             90        369343.000        37456094.781       195043710.847        43
             91        369343.000        36239255.517       188707309.425        46
             92        369343.000        38406307.596       199991716.754        42
              9        369343.000        25282612.070       132861022.360        35
             99        369343.000        25297412.612       131730268.598        42
              1        369344.000        20261935.848       106477145.538        47
              7        369344.000        20412868.609       107270337.809        46
              8        369344.000        23491231.821       123447255.159        41
             11        369344.000        20773989.453       109168031.369        46
             17        369344.000        23591516.233       123974265.455        41
              9        369344.000        25282954.129       132862830.114        34
             28        369344.000        23257772.215       122220420.228        41
             30        369344.000        20809432.486       109354294.246        48
              3        369344.000        23589020.590       123961104.659        41
             94        369344.000        40664532.526       211750902.780        36
             95        369344.000        35973507.617       187323490.709        48
             96        369344.000        36575719.709       190459364.880        45
             98        369344.000        35775270.578       186291214.967        46
             93        369344.000        39113390.437       203673686.107        41
            100        369344.000        22292598.683       116083408.573        48
            103        369344.000        36691241.913       191060920.370        47
             89        369344.000        37053997.144       192949883.825        45
             90        369344.000        37456133.765       195043914.482        43
             91        369344.000        36239299.265       188707538.201        46
             92        369344.000        38406351.135       199991942.973        42
             99        369344.000        25297170.280       131729007.294        42
              1        369345.000        20262129.423       106478162.730        51
              7        369345.000        20413173.011       107271936.238        50
              8        369345.000        23491658.810       123449497.928        44
             11        369345.000        20774372.834       109170045.765        50
             17        369345.000        23591319.673       123973234.473        45
             22        369345.000        23071918.741       121243751.075        45
             28        369345.000        23257380.057       122218352.183        45
             30        369345.000        20809374.778       109353988.199        52
              3        369345.000        23588603.215       123958930.438        44
             94        369345.000        40664411.736       211750272.983        37
             95        369345.000        35973653.553       187324250.097        49
